ID	Pi Hat	CntProbe	SeedInit	Error	RunTime	Experiment	
69	5.0	10.0	3651945	1.8584073464	3.600120544433594e-05	Parallel	
70	2.5	10.0	1107655	-0.6415926536	3.695487976074219e-05	Parallel	
71	2.2222222222	10.0	93558	-0.9193704314	3.5762786865234375e-05	Parallel	
72	5.0	10.0	2325623	1.8584073464	4.100799560546875e-05	Parallel	
73	3.3333333333	10.0	8172888	0.1917406797	3.981590270996094e-05	Parallel	
74	4.0	10.0	302640	0.8584073464	3.600120544433594e-05	Parallel	
75	4.0	10.0	620104	0.8584073464	3.695487976074219e-05	Parallel	
76	2.8571428571	10.0	9642880	-0.2844497964	3.600120544433594e-05	Parallel	
77	4.0	10.0	7724479	0.8584073464	3.790855407714844e-05	Parallel	
78	3.3333333333	10.0	3112660	0.1917406797	3.695487976074219e-05	Parallel	
79	3.3333333333	10.0	3920453	0.1917406797	3.62396240234375e-05	Parallel	
80	2.2222222222	10.0	3981025	-0.9193704314	3.504753112792969e-05	Parallel	
81	2.8571428571	10.0	7106220	-0.2844497964	3.600120544433594e-05	Parallel	
82	2.5	10.0	9205238	-0.6415926536	3.504753112792969e-05	Parallel	
83	3.3333333333	10.0	4635863	0.1917406797	3.600120544433594e-05	Parallel	
84	2.8571428571	10.0	9941620	-0.2844497964	3.600120544433594e-05	Parallel	
85	3.3333333333	10.0	2286324	0.1917406797	3.600120544433594e-05	Parallel	
86	3.3333333333	10.0	9411531	0.1917406797	3.695487976074219e-05	Parallel	
87	4.0	10.0	3781757	0.8584073464	3.5762786865234375e-05	Parallel	
88	3.3333333333	10.0	7727659	0.1917406797	3.600120544433594e-05	Parallel	
89	2.5	10.0	5311128	-0.6415926536	3.695487976074219e-05	Parallel	
90	2.2222222222	10.0	1361142	-0.9193704314	3.600120544433594e-05	Parallel	
91	2.5	10.0	4814579	-0.6415926536	3.719329833984375e-05	Parallel	
92	3.3333333333	10.0	4783515	0.1917406797	3.600120544433594e-05	Parallel	
93	3.3333333333	10.0	5091889	0.1917406797	3.600120544433594e-05	Parallel	
94	3.3333333333	10.0	2401473	0.1917406797	7.295608520507812e-05	Parallel	
