sampleId	piHat	numThrows	numThrowsLmt	isCensored	seedInit	OFerror	signifDigits	runtime	solverName	
1	3.1	27.0	500	FALSE	4818901	0.030481488888888908	2	8.893013000488281e-05	Dart	
2	3.2	53.0	500	FALSE	666046	0.028218720754717097	2	0.00025391578674316406	Dart	
3	3.1	9.0	500	FALSE	681056	0.030481488888888908	2	3.1948089599609375e-05	Dart	
4	3.2	72.0	500	FALSE	5294427	0.02507406666666645	2	0.0002200603485107422	Dart	
5	3.1	9.0	500	FALSE	5949208	0.030481488888888908	2	3.0994415283203125e-05	Dart	
6	3.1	89.0	500	FALSE	4216127	0.040469004494382066	2	0.00027108192443847656	Dart	
7	3.1	9.0	500	FALSE	7825352	0.030481488888888908	2	3.1948089599609375e-05	Dart	
8	3.1	23.0	500	FALSE	4428027	0.011157817391304281	2	0.0001537799835205078	Dart	
9	3.1	102.0	500	FALSE	8581264	0.04355338431372546	2	0.00025200843811035156	Dart	
10	3.1	9.0	500	FALSE	3695276	0.030481488888888908	2	2.574920654296875e-05	Dart	
11	3.2	33.0	500	FALSE	1911796	0.009922551515151312	2	8.392333984375e-05	Dart	
12	3.1	14.0	500	FALSE	7814990	0.0012645428571427253	2	3.790855407714844e-05	Dart	
13	3.1	53.0	500	FALSE	5669484	0.04725297735849043	2	0.00013113021850585938	Dart	
14	3.1	14.0	500	FALSE	76235	0.0012645428571427253	2	3.790855407714844e-05	Dart	
15	3.2	221.0	500	FALSE	3098663	0.04392776199094994	2	0.0005700588226318359	Dart	
16	3.1	9.0	500	FALSE	205474	0.030481488888888908	2	2.5987625122070312e-05	Dart	
17	3.1	9.0	500	FALSE	4008732	0.030481488888888908	2	2.6226043701171875e-05	Dart	
18	3.1	9.0	500	FALSE	2623798	0.030481488888888908	2	2.574920654296875e-05	Dart	
19	3.1	9.0	500	FALSE	4754990	0.030481488888888908	2	2.47955322265625e-05	Dart	
20	3.1	37.0	500	FALSE	9232857	0.006457464864864981	2	9.512901306152344e-05	Dart	
21	3.2	58.0	500	FALSE	1900181	0.03082119310344833	2	0.00014400482177734375	Dart	
22	3.2	88.0	500	FALSE	1344364	0.04022558181818159	2	0.00021791458129882812	Dart	
23	3.1	9.0	500	FALSE	8524134	0.030481488888888908	2	2.5987625122070312e-05	Dart	
24	3.2	29.0	500	FALSE	8177188	0.03082119310344833	2	7.295608520507812e-05	Dart	
25	3.1	9.0	500	FALSE	4507957	0.030481488888888908	2	2.5033950805664062e-05	Dart	
26	3.1	14.0	500	FALSE	7940862	0.0012645428571427253	2	3.886222839355469e-05	Dart	
27	3.1	23.0	500	FALSE	3453305	0.011157817391304281	2	6.079673767089844e-05	Dart	
28	3.1	40.0	500	FALSE	6528351	0.04159259999999998	2	0.00010085105895996094	Dart	
29	3.1	9.0	500	FALSE	3225899	0.030481488888888908	2	2.5033950805664062e-05	Dart	
30	3.1	9.0	500	FALSE	7095205	0.030481488888888908	2	2.5272369384765625e-05	Dart	
31	3.2	484.0	500	FALSE	6256450	0.04849004462809914	2	0.0025310516357421875	Dart	
32	3.1	36.0	500	FALSE	2298676	0.030481488888888908	2	0.00028586387634277344	Dart	
33	3.1	27.0	500	FALSE	5498399	0.030481488888888908	2	0.00015783309936523438	Dart	
34	3.1	9.0	500	FALSE	426138	0.030481488888888908	2	5.412101745605469e-05	Dart	
35	3.1	9.0	500	FALSE	3269731	0.030481488888888908	2	4.601478576660156e-05	Dart	
36	3.2	39.0	500	FALSE	603636	0.037894579487179225	2	9.799003601074219e-05	Dart	
37	3.1	14.0	500	FALSE	2451437	0.0012645428571427253	2	3.600120544433594e-05	Dart	
38	3.2	83.0	500	FALSE	9216356	0.03913029156626502	2	0.00021409988403320312	Dart	
39	3.1	36.0	500	FALSE	7554638	0.030481488888888908	2	8.296966552734375e-05	Dart	
40	3.1	40.0	500	FALSE	8465623	0.04159259999999998	2	9.512901306152344e-05	Dart	
