Experiment	ID	RunTime	IsCensored	OFTol	Error	CntProbe	Sig Figs	CntProbeLmt	Pi Hat	SeedInit	
Parallel	2	8.702278137207031e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	1094408	
Parallel	3	0.00014495849609375	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	5931557	
Parallel	4	0.00011444091796875	False	0.05	-0.0506835627	17.0	1	15625000000	3.0909090909	8917707	
Parallel	5	8.368492126464844e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	2762178	
Parallel	6	0.00010085105895996094	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	6917265	
Parallel	7	0.00031685829162597656	False	0.05	-0.0827691242	52.0	1	15625000000	3.0588235294	615431	
Parallel	8	7.915496826171875e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	9193811	
Parallel	9	0.0018606185913085938	False	0.05	0.0073435166	296.0	1	15625000000	3.1489361702	8836378	
Parallel	10	0.00010156631469726562	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	6690761	
Parallel	11	0.00011801719665527344	False	0.05	-0.0506835627	17.0	1	15625000000	3.0909090909	4179493	
Parallel	12	0.00015044212341308594	False	0.05	-0.0646695767	20.0	1	15625000000	3.0769230769	2103849	
Parallel	13	8.082389831542969e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	9758090	
Parallel	14	0.00010251998901367188	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	6225315	
Parallel	15	0.00016355514526367188	False	0.05	-0.0827691242	26.0	1	15625000000	3.0588235294	7164868	
Parallel	16	0.0008022785186767578	False	0.05	-0.0841213892	133.0	1	15625000000	3.0574712644	9525840	
Parallel	17	8.368492126464844e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	1368560	
Parallel	18	8.034706115722656e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	5245694	
Parallel	19	9.226799011230469e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	9154751	
Parallel	20	8.678436279296875e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	300065	
Parallel	21	0.0001823902130126953	False	0.05	-0.0304815425	28.0	1	15625000000	3.1111111111	1892945	
Parallel	22	0.0003325939178466797	False	0.05	-0.086037098	55.0	1	15625000000	3.0555555556	5320982	
Parallel	23	9.202957153320312e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	1251477	
Parallel	24	9.846687316894531e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	170597	
Parallel	25	7.915496826171875e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	4369289	
Parallel	26	7.963180541992188e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	4766462	
Parallel	27	9.846687316894531e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	360266	
Parallel	28	0.0006268024444580078	False	0.05	-0.086037098	110.0	1	15625000000	3.0555555556	8251106	
Parallel	29	0.0001800060272216797	False	0.05	-0.0827691242	26.0	1	15625000000	3.0588235294	2426262	
Parallel	30	0.0010447502136230469	False	0.05	-0.0796457509	173.0	1	15625000000	3.0619469027	2116807	
Parallel	31	0.00010037422180175781	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	1985575	
Parallel	32	0.0004019737243652344	False	0.05	-0.0052290172	69.0	1	15625000000	3.1363636364	2090911	
