sampleId	piHat	numThrows	numThrowsLmt	isCensored	seedInit	OFerror	signifDigits	runtime	solverName	
1	3.1	11.0	400	FALSE	4912449	0.0012644892671427321	2	6.699562072753906e-05	Needles1	
2	3.1	33.0	400	FALSE	3210526	0.0012644892671427321	2	0.00018596649169921875	Needles1	
3	3.1	44.0	400	FALSE	5510557	0.0012644892671427321	2	0.00025916099548339844	Needles1	
4	3.1	44.0	400	FALSE	6637542	0.0012644892671427321	2	0.00025391578674316406	Needles1	
5	3.1	11.0	400	FALSE	3842975	0.0012644892671427321	2	6.818771362304688e-05	Needles1	
6	3.1	11.0	400	FALSE	7918764	0.0012644892671427321	2	0.00012111663818359375	Needles1	
7	3.1	11.0	400	FALSE	8485193	0.0012644892671427321	2	0.0004398822784423828	Needles1	
8	3.1	55.0	400	FALSE	8564160	0.0012644892671427321	2	0.0005841255187988281	Needles1	
9	3.1	66.0	400	FALSE	2195682	0.0012644892671427321	2	0.001035928726196289	Needles1	
10	3.1	102.0	400	FALSE	3369744	0.003131115128461648	2	0.001280069351196289	Needles1	
11	3.1	124.0	400	FALSE	3043248	0.0023521472608862837	2	0.0005879402160644531	Needles1	
12	3.1	110.0	400	FALSE	7068803	0.0012644892671427321	2	0.0005261898040771484	Needles1	
13	3.1	33.0	400	FALSE	4436705	0.0012644892671427321	2	0.0001659393310546875	Needles1	
14	3.1	11.0	400	FALSE	8254916	0.0012644892671427321	2	5.221366882324219e-05	Needles1	
15	3.1	11.0	400	FALSE	6729706	0.0012644892671427321	2	5.1975250244140625e-05	Needles1	
16	3.1	102.0	400	FALSE	1035996	0.003131115128461648	2	0.0005559921264648438	Needles1	
17	3.1	11.0	400	FALSE	7180848	0.0012644892671427321	2	6.29425048828125e-05	Needles1	
18	3.1	44.0	400	FALSE	8142948	0.0012644892671427321	2	0.00021719932556152344	Needles1	
19	3.1	11.0	400	FALSE	5889276	0.0012644892671427321	2	6.389617919921875e-05	Needles1	
20	3.1	66.0	400	FALSE	9345649	0.0012644892671427321	2	0.0003190040588378906	Needles1	
21	3.1	66.0	400	FALSE	4280695	0.0012644892671427321	2	0.00042700767517089844	Needles1	
22	3.1	11.0	400	FALSE	5483676	0.0012644892671427321	2	9.083747863769531e-05	Needles1	
23	3.1	11.0	400	FALSE	8382750	0.0012644892671427321	2	9.489059448242188e-05	Needles1	
24	3.1	173.0	400	FALSE	8012579	0.0038618918645454414	2	0.0016989707946777344	Needles1	
25	3.1	22.0	400	FALSE	353893	0.0012644892671427321	2	0.00021791458129882812	Needles1	
26	3.1	99.0	400	FALSE	5426385	0.0012644892671427321	2	0.0005791187286376953	Needles1	
27	3.1	66.0	400	FALSE	2009859	0.0012644892671427321	2	0.0005328655242919922	Needles1	
28	3.1	77.0	400	FALSE	519000	0.0012644892671427321	2	0.0007929801940917969	Needles1	
29	3.1	80.0	400	FALSE	269317	0.004337751629215791	2	0.0007851123809814453	Needles1	
30	3.1	99.0	400	FALSE	6900298	0.0012644892671427321	2	0.0006608963012695312	Needles1	
31	3.1	242.0	400	FALSE	5141387	0.0012644892671427321	2	0.0018019676208496094	Needles1	
32	3.1	11.0	400	FALSE	1966213	0.0012644892671427321	2	5.507469177246094e-05	Needles1	
33	3.1	11.0	400	FALSE	7184401	0.0012644892671427321	2	5.316734313964844e-05	Needles1	
34	3.1	22.0	400	FALSE	4889407	0.0012644892671427321	2	0.00011301040649414062	Needles1	
35	3.1	195.0	400	FALSE	794978	0.0035686367325804547	2	0.0009310245513916016	Needles1	
