ID	Pi Hat	CntProbe	SeedInit	Error	RunTime	Experiment	
76	3.2	10.0	3737170	0.0584074	3.0040740966796875e-05	Dart	
77	3.2	10.0	3859788	0.0584074	6.079673767089844e-05	Dart	
78	2.8	10.0	5805853	-0.3415926	2.8848648071289062e-05	Dart	
79	2.8	10.0	4476568	-0.3415926	2.9087066650390625e-05	Dart	
80	2.4	10.0	8533208	-0.7415926	2.9087066650390625e-05	Dart	
81	3.2	10.0	5497354	0.0584074	2.7894973754882812e-05	Dart	
82	3.6	10.0	6767230	0.4584074	2.9802322387695312e-05	Dart	
83	3.6	10.0	7908617	0.4584074	2.8848648071289062e-05	Dart	
84	2.4	10.0	178993	-0.7415926	2.9087066650390625e-05	Dart	
85	2.0	10.0	2806775	-1.1415926	2.8848648071289062e-05	Dart	
86	2.8	10.0	4796897	-0.3415926	3.0040740966796875e-05	Dart	
87	3.6	10.0	1644821	0.4584074	2.8848648071289062e-05	Dart	
88	2.8	10.0	116628	-0.3415926	2.8848648071289062e-05	Dart	
89	3.2	10.0	6504772	0.0584074	3.0040740966796875e-05	Dart	
90	3.2	10.0	2772788	0.0584074	2.9087066650390625e-05	Dart	
91	3.6	10.0	875712	0.4584074	2.8848648071289062e-05	Dart	
92	3.2	10.0	9393727	0.0584074	2.9087066650390625e-05	Dart	
93	2.8	10.0	661834	-0.3415926	2.8848648071289062e-05	Dart	
94	2.4	10.0	8903227	-0.7415926	2.7894973754882812e-05	Dart	
95	3.6	10.0	3805792	0.4584074	2.9325485229492188e-05	Dart	
96	3.2	10.0	7152776	0.0584074	2.8848648071289062e-05	Dart	
97	3.6	10.0	7354015	0.4584074	2.8133392333984375e-05	Dart	
98	3.6	10.0	4921916	0.4584074	2.8848648071289062e-05	Dart	
99	2.0	10.0	8258502	-1.1415926	2.9087066650390625e-05	Dart	
100	3.32	100.0	3894716	0.1784074	0.0002460479736328125	Dart	
101	3.36	100.0	7305983	0.2184074	0.00024509429931640625	Dart	
102	3.04	100.0	2168299	-0.1015926	0.00024580955505371094	Dart	
103	2.96	100.0	1851124	-0.1815926	0.0002448558807373047	Dart	
104	3.2	100.0	7023927	0.0584074	0.000247955322265625	Dart	
105	2.76	100.0	355185	-0.3815926	0.00024509429931640625	Dart	
106	3.32	100.0	4577751	0.1784074	0.0002460479736328125	Dart	
107	3.08	100.0	9791534	-0.0615926	0.0002460479736328125	Dart	
108	3.12	100.0	9115036	-0.0215926	0.0002460479736328125	Dart	
109	3.24	100.0	1064892	0.0984074	0.00024580955505371094	Dart	
110	3.08	100.0	1738466	-0.0615926	0.00025200843811035156	Dart	
111	3.24	100.0	7554312	0.0984074	0.00024890899658203125	Dart	
112	3.08	100.0	6968748	-0.0615926	0.0002448558807373047	Dart	
113	3.32	100.0	6158114	0.1784074	0.00024509429931640625	Dart	
114	3.28	100.0	1500499	0.1384074	0.00024390220642089844	Dart	
115	3.0	100.0	4755517	-0.1415926	0.00024509429931640625	Dart	
116	3.12	100.0	6343600	-0.0215926	0.000247955322265625	Dart	
117	3.16	100.0	7854332	0.0184074	0.0002472400665283203	Dart	
118	3.44	100.0	8764165	0.2984074	0.0002455711364746094	Dart	
119	2.96	100.0	2223595	-0.1815926	0.00024509429931640625	Dart	
120	3.2	100.0	816507	0.0584074	0.0002460479736328125	Dart	
121	3.04	100.0	8385005	-0.1015926	0.00024771690368652344	Dart	
122	3.08	100.0	9102722	-0.0615926	0.0002460479736328125	Dart	
123	3.28	100.0	9561325	0.1384074	0.0002460479736328125	Dart	
124	3.2	100.0	8584707	0.0584074	0.0002551078796386719	Dart	
125	3.0	100.0	9830057	-0.1415926	0.00021409988403320312	Dart	
126	2.96	100.0	9850207	-0.1815926	0.00021123886108398438	Dart	
127	3.16	100.0	9485386	0.0184074	0.00021195411682128906	Dart	
128	3.28	100.0	5774661	0.1384074	0.00021195411682128906	Dart	
129	3.2	100.0	4437358	0.0584074	0.00021195411682128906	Dart	
130	3.32	100.0	7692168	0.1784074	0.00021219253540039062	Dart	
131	3.04	100.0	9474470	-0.1015926	0.00021195411682128906	Dart	
132	3.4	100.0	1195926	0.2584074	0.00021195411682128906	Dart	
133	2.92	100.0	585109	-0.2215926	0.0002110004425048828	Dart	
134	2.96	100.0	5587638	-0.1815926	0.00021123886108398438	Dart	
135	3.04	100.0	694832	-0.1015926	0.00021195411682128906	Dart	
136	3.44	100.0	754044	0.2984074	0.0002110004425048828	Dart	
137	3.16	100.0	2351565	0.0184074	0.0002110004425048828	Dart	
138	3.12	100.0	9876729	-0.0215926	0.00021505355834960938	Dart	
139	3.08	100.0	5718326	-0.0615926	0.00021505355834960938	Dart	
140	3.32	100.0	5147482	0.1784074	0.00021195411682128906	Dart	
141	3.2	100.0	4792359	0.0584074	0.00021195411682128906	Dart	
142	3.2	100.0	7873570	0.0584074	0.0002129077911376953	Dart	
143	2.88	100.0	6890264	-0.2615926	0.00021195411682128906	Dart	
144	3.08	100.0	3244021	-0.0615926	0.00021195411682128906	Dart	
145	3.36	100.0	5086762	0.2184074	0.0002129077911376953	Dart	
146	3.48	100.0	4464489	0.3384074	0.00021195411682128906	Dart	
147	3.24	100.0	3692619	0.0984074	0.00021195411682128906	Dart	
148	3.08	100.0	9954800	-0.0615926	0.00021195411682128906	Dart	
149	3.08	100.0	2949719	-0.0615926	0.00021195411682128906	Dart	
150	3.12	100.0	7429216	-0.0215926	0.00021219253540039062	Dart	
151	3.16	100.0	4367518	0.0184074	0.00021600723266601562	Dart	
152	3.0	100.0	3541989	-0.1415926	0.00021219253540039062	Dart	
153	3.04	100.0	5129623	-0.1015926	0.00021409988403320312	Dart	
154	3.0	100.0	5034415	-0.1415926	0.0002110004425048828	Dart	
155	3.08	100.0	3694126	-0.0615926	0.00021409988403320312	Dart	
156	3.0	100.0	4992560	-0.1415926	0.00021195411682128906	Dart	
157	3.0	100.0	6402436	-0.1415926	0.00021219253540039062	Dart	
158	3.32	100.0	6863981	0.1784074	0.00021386146545410156	Dart	
159	2.96	100.0	4371613	-0.1815926	0.00021195411682128906	Dart	
160	3.12	100.0	5547141	-0.0215926	0.0002129077911376953	Dart	
161	3.16	100.0	5329164	0.0184074	0.00021195411682128906	Dart	
162	3.24	100.0	4258553	0.0984074	0.00021195411682128906	Dart	
163	3.08	100.0	9718764	-0.0615926	0.00021219253540039062	Dart	
164	2.96	100.0	9284586	-0.1815926	0.0002110004425048828	Dart	
165	3.36	100.0	3326528	0.2184074	0.0002789497375488281	Dart	
166	3.32	100.0	1846464	0.1784074	0.00032711029052734375	Dart	
167	3.36	100.0	2365261	0.2184074	0.00024437904357910156	Dart	
168	3.28	100.0	3403898	0.1384074	0.00021576881408691406	Dart	
169	3.04	100.0	1497772	-0.1015926	0.0002560615539550781	Dart	
170	3.24	100.0	6191465	0.0984074	0.000225067138671875	Dart	
171	2.96	100.0	5955613	-0.1815926	0.0002129077911376953	Dart	
172	2.84	100.0	9463447	-0.3015926	0.00021076202392578125	Dart	
173	3.12	100.0	2397644	-0.0215926	0.00021004676818847656	Dart	
174	3.16	100.0	8103390	0.0184074	0.00021076202392578125	Dart	
175	3.12	100.0	8529996	-0.0215926	0.0002129077911376953	Dart	
176	2.92	100.0	8583442	-0.2215926	0.000209808349609375	Dart	
177	3.16	100.0	2845148	0.0184074	0.00021314620971679688	Dart	
178	3.2	100.0	6493367	0.0584074	0.00021123886108398438	Dart	
179	2.8	100.0	1514694	-0.3415926	0.0002110004425048828	Dart	
180	3.04	100.0	9138654	-0.1015926	0.0002110004425048828	Dart	
181	3.32	100.0	7978453	0.1784074	0.0002110004425048828	Dart	
182	3.0	100.0	8982979	-0.1415926	0.000209808349609375	Dart	
183	3.0	100.0	808676	-0.1415926	0.0002110004425048828	Dart	
184	3.24	100.0	4994911	0.0984074	0.00021076202392578125	Dart	
185	3.0	100.0	7984768	-0.1415926	0.000209808349609375	Dart	
186	3.0	100.0	8462873	-0.1415926	0.00020885467529296875	Dart	
187	3.04	100.0	6332822	-0.1015926	0.00021004676818847656	Dart	
188	3.32	100.0	84928	0.1784074	0.0002110004425048828	Dart	
189	3.12	100.0	6806920	-0.0215926	0.0002090930938720703	Dart	
190	3.24	100.0	2359998	0.0984074	0.0002110004425048828	Dart	
191	3.24	100.0	9288107	0.0984074	0.0002110004425048828	Dart	
192	3.0	100.0	7083311	-0.1415926	0.000209808349609375	Dart	
193	3.08	100.0	8309604	-0.0615926	0.000209808349609375	Dart	
194	3.28	100.0	1328173	0.1384074	0.0002110004425048828	Dart	
195	3.08	100.0	4930813	-0.0615926	0.0002110004425048828	Dart	
196	3.24	100.0	4738944	0.0984074	0.00021004676818847656	Dart	
197	3.04	100.0	4461505	-0.1015926	0.00021004676818847656	Dart	
198	3.0	100.0	9803686	-0.1415926	0.00021195411682128906	Dart	
199	3.36	100.0	5188868	0.2184074	0.000209808349609375	Dart	
200	3.216	1000.0	6484307	0.0744074	0.002080202102661133	Dart	
201	3.056	1000.0	6042040	-0.0855926	0.0032372474670410156	Dart	
202	3.152	1000.0	9135436	0.0104074	0.0032351016998291016	Dart	
203	3.172	1000.0	2244323	0.0304074	0.0030078887939453125	Dart	
204	3.16	1000.0	3863497	0.0184074	0.0026581287384033203	Dart	
205	3.132	1000.0	7388095	-0.0095926	0.00240325927734375	Dart	
206	3.088	1000.0	5447868	-0.0535926	0.002534151077270508	Dart	
207	3.168	1000.0	5553829	0.0264074	0.002438068389892578	Dart	
208	3.196	1000.0	6584293	0.0544074	0.0024280548095703125	Dart	
209	3.18	1000.0	514144	0.0384074	0.0024797916412353516	Dart	
210	3.124	1000.0	9960907	-0.0175926	0.0024039745330810547	Dart	
211	3.12	1000.0	8972332	-0.0215926	0.0024030208587646484	Dart	
212	3.216	1000.0	6344429	0.0744074	0.0022430419921875	Dart	
213	3.192	1000.0	4134742	0.0504074	0.0020751953125	Dart	
214	3.16	1000.0	3721661	0.0184074	0.002079010009765625	Dart	
215	3.232	1000.0	6880214	0.0904074	0.002087831497192383	Dart	
216	3.204	1000.0	9073797	0.0624074	0.0021431446075439453	Dart	
217	3.188	1000.0	9946460	0.0464074	0.004410982131958008	Dart	
218	3.252	1000.0	6864799	0.1104074	0.003206014633178711	Dart	
219	3.076	1000.0	6728608	-0.0655926	0.004395008087158203	Dart	
220	3.132	1000.0	9510312	-0.0095926	0.0037288665771484375	Dart	
221	3.148	1000.0	5476470	0.0064074	0.002977132797241211	Dart	
222	3.24	1000.0	8279556	0.0984074	0.0029861927032470703	Dart	
223	3.092	1000.0	1228036	-0.0495926	0.002496004104614258	Dart	
224	3.148	1000.0	5763941	0.0064074	0.002429962158203125	Dart	
225	3.184	1000.0	4862331	0.0424074	0.0024292469024658203	Dart	
226	3.068	1000.0	9743450	-0.0735926	0.0022499561309814453	Dart	
227	3.116	1000.0	7155293	-0.0255926	0.0020918846130371094	Dart	
228	3.18	1000.0	1747830	0.0384074	0.0021131038665771484	Dart	
229	3.176	1000.0	4734869	0.0344074	0.002151966094970703	Dart	
230	3.096	1000.0	8098902	-0.0455926	0.0023059844970703125	Dart	
231	3.032	1000.0	2277621	-0.1095926	0.0020990371704101562	Dart	
232	3.268	1000.0	3300095	0.1264074	0.0020830631256103516	Dart	
233	3.068	1000.0	3576580	-0.0735926	0.002079010009765625	Dart	
234	3.152	1000.0	2470152	0.0104074	0.002079010009765625	Dart	
235	3.16	1000.0	2165423	0.0184074	0.0038242340087890625	Dart	
236	3.184	1000.0	2599166	0.0424074	0.0030829906463623047	Dart	
237	3.14	1000.0	3488664	-0.0015926	0.0029878616333007812	Dart	
238	3.036	1000.0	806916	-0.1055926	0.0026192665100097656	Dart	
239	3.112	1000.0	1957041	-0.0295926	0.0024089813232421875	Dart	
240	3.184	1000.0	9282170	0.0424074	0.0026531219482421875	Dart	
241	3.16	1000.0	4818735	0.0184074	0.002276182174682617	Dart	
242	3.096	1000.0	1732502	-0.0455926	0.00208282470703125	Dart	
243	3.232	1000.0	3797225	0.0904074	0.0020949840545654297	Dart	
244	3.052	1000.0	147162	-0.0895926	0.002074003219604492	Dart	
245	3.152	1000.0	7695346	0.0104074	0.002095937728881836	Dart	
246	3.252	1000.0	9754911	0.1104074	0.002091646194458008	Dart	
247	3.1	1000.0	7749035	-0.0415926	0.0020880699157714844	Dart	
248	3.132	1000.0	8998516	-0.0095926	0.0023550987243652344	Dart	
249	3.26	1000.0	7548713	0.1184074	0.002276182174682617	Dart	
250	3.148	1000.0	4469657	0.0064074	0.002190113067626953	Dart	
251	3.088	1000.0	4696493	-0.0535926	0.0023059844970703125	Dart	
252	3.08	1000.0	6772019	-0.0615926	0.002443075180053711	Dart	
253	3.22	1000.0	8544977	0.0784074	0.002440214157104492	Dart	
254	3.14	1000.0	4550157	-0.0015926	0.002602815628051758	Dart	
255	3.24	1000.0	7837099	0.0984074	0.002410888671875	Dart	
256	3.092	1000.0	1049969	-0.0495926	0.002416849136352539	Dart	
257	3.14	1000.0	1843293	-0.0015926	0.0024471282958984375	Dart	
258	3.1	1000.0	3141149	-0.0415926	0.002444744110107422	Dart	
259	3.104	1000.0	429841	-0.0375926	0.002377033233642578	Dart	
260	3.176	1000.0	408291	0.0344074	0.00208282470703125	Dart	
261	3.152	1000.0	5052669	0.0104074	0.0020799636840820312	Dart	
262	3.156	1000.0	1128397	0.0144074	0.002108335494995117	Dart	
263	3.136	1000.0	8491418	-0.0055926	0.0022118091583251953	Dart	
264	3.152	1000.0	7849940	0.0104074	0.0020780563354492188	Dart	
265	3.112	1000.0	9344344	-0.0295926	0.0020759105682373047	Dart	
266	3.124	1000.0	9812923	-0.0175926	0.0020940303802490234	Dart	
267	3.152	1000.0	9604136	0.0104074	0.002084970474243164	Dart	
268	3.172	1000.0	8782345	0.0304074	0.0020818710327148438	Dart	
269	3.164	1000.0	3642651	0.0224074	0.0020818710327148438	Dart	
270	3.108	1000.0	6036472	-0.0335926	0.002145051956176758	Dart	
271	3.184	1000.0	2730558	0.0424074	0.002118349075317383	Dart	
272	3.152	1000.0	9573209	0.0104074	0.002091646194458008	Dart	
273	3.216	1000.0	2262808	0.0744074	0.002094268798828125	Dart	
274	3.144	1000.0	8228348	0.0024074	0.002313852310180664	Dart	
275	3.14	1000.0	9101855	-0.0015926	0.002108335494995117	Dart	
276	3.072	1000.0	2034543	-0.0695926	0.0020890235900878906	Dart	
277	3.164	1000.0	2670035	0.0224074	0.00237274169921875	Dart	
278	3.112	1000.0	3241512	-0.0295926	0.0024061203002929688	Dart	
279	3.148	1000.0	2226514	0.0064074	0.0025081634521484375	Dart	
280	3.232	1000.0	77930	0.0904074	0.0023610591888427734	Dart	
281	3.172	1000.0	1568656	0.0304074	0.0033779144287109375	Dart	
282	3.144	1000.0	6834385	0.0024074	0.0036470890045166016	Dart	
283	3.148	1000.0	2568208	0.0064074	0.0036191940307617188	Dart	
284	3.088	1000.0	9164472	-0.0535926	0.003362894058227539	Dart	
285	3.104	1000.0	1719246	-0.0375926	0.00413203239440918	Dart	
286	3.152	1000.0	3250667	0.0104074	0.002307891845703125	Dart	
287	3.264	1000.0	8394715	0.1224074	0.0023889541625976562	Dart	
288	3.072	1000.0	4363514	-0.0695926	0.0027778148651123047	Dart	
289	3.192	1000.0	5906461	0.0504074	0.0037109851837158203	Dart	
290	3.188	1000.0	7015213	0.0464074	0.00461578369140625	Dart	
291	3.208	1000.0	5155146	0.0664074	0.004209041595458984	Dart	
292	3.176	1000.0	3388982	0.0344074	0.0038919448852539062	Dart	
293	3.156	1000.0	6449777	0.0144074	0.003995180130004883	Dart	
294	3.16	1000.0	5766763	0.0184074	0.0037949085235595703	Dart	
295	3.072	1000.0	3631289	-0.0695926	0.003545045852661133	Dart	
296	3.136	1000.0	1163055	-0.0055926	0.0026750564575195312	Dart	
297	3.1	1000.0	8152773	-0.0415926	0.004289865493774414	Dart	
298	3.08	1000.0	8028504	-0.0615926	0.002929210662841797	Dart	
299	3.148	1000.0	9634272	0.0064074	0.004071950912475586	Dart	
300	3.1236	10000.0	1231351	-0.0179926	0.03644895553588867	Dart	
301	3.1632	10000.0	3800117	0.0216074	0.02602410316467285	Dart	
302	3.1544	10000.0	6652728	0.0128074	0.02098703384399414	Dart	
303	3.1408	10000.0	402385	-0.0007926	0.025876998901367188	Dart	
304	3.1372	10000.0	5722369	-0.0043926	0.021384000778198242	Dart	
305	3.136	10000.0	5202936	-0.0055926	0.020786046981811523	Dart	
306	3.1744	10000.0	4237506	0.0328074	0.025068044662475586	Dart	
307	3.1636	10000.0	7477059	0.0220074	0.02531599998474121	Dart	
308	3.1568	10000.0	9359156	0.0152074	0.026295900344848633	Dart	
309	3.1164	10000.0	4426953	-0.0251926	0.02377915382385254	Dart	
310	3.1496	10000.0	3954051	0.0080074	0.02384209632873535	Dart	
311	3.1572	10000.0	6662493	0.0156074	0.025302886962890625	Dart	
312	3.15	10000.0	4181729	0.0084074	0.023987293243408203	Dart	
313	3.1436	10000.0	700174	0.0020074	0.026656150817871094	Dart	
314	3.1308	10000.0	6105880	-0.0107926	0.028206825256347656	Dart	
315	3.154	10000.0	128701	0.0124074	0.021777868270874023	Dart	
316	3.1396	10000.0	7009747	-0.0019926	0.020943880081176758	Dart	
317	3.096	10000.0	402550	-0.0455926	0.025300025939941406	Dart	
318	3.1152	10000.0	6789505	-0.0263926	0.024984121322631836	Dart	
319	3.1268	10000.0	3358430	-0.0147926	0.023501157760620117	Dart	
320	3.148	10000.0	5400514	0.0064074	0.022166967391967773	Dart	
321	3.1472	10000.0	1015545	0.0056074	0.028720855712890625	Dart	
322	3.138	10000.0	7746376	-0.0035926	0.02346014976501465	Dart	
323	3.1432	10000.0	8165647	0.0016074	0.021241188049316406	Dart	
324	3.1476	10000.0	5072341	0.0060074	0.023234844207763672	Dart	
325	3.1608	10000.0	4571238	0.0192074	0.023021936416625977	Dart	
326	3.1332	10000.0	6987547	-0.0083926	0.02260589599609375	Dart	
327	3.1308	10000.0	5764385	-0.0107926	0.02193164825439453	Dart	
328	3.1236	10000.0	5311757	-0.0179926	0.02510809898376465	Dart	
329	3.1552	10000.0	6267672	0.0136074	0.02376389503479004	Dart	
330	3.1316	10000.0	8255243	-0.0099926	0.024355173110961914	Dart	
331	3.1272	10000.0	3759783	-0.0143926	0.027268171310424805	Dart	
332	3.1444	10000.0	9242669	0.0028074	0.02230095863342285	Dart	
333	3.1492	10000.0	125798	0.0076074	0.02242422103881836	Dart	
334	3.1432	10000.0	3391490	0.0016074	0.026261091232299805	Dart	
335	3.1632	10000.0	7477687	0.0216074	0.029791831970214844	Dart	
336	3.1524	10000.0	6256350	0.0108074	0.02351093292236328	Dart	
337	3.1144	10000.0	6009279	-0.0271926	0.021953105926513672	Dart	
338	3.1296	10000.0	3161158	-0.0119926	0.023039817810058594	Dart	
339	3.1116	10000.0	1392479	-0.0299926	0.022722959518432617	Dart	
340	3.1216	10000.0	3426813	-0.0199926	0.021413087844848633	Dart	
341	3.156	10000.0	2459669	0.0144074	0.02207207679748535	Dart	
342	3.1636	10000.0	112016	0.0220074	0.021973133087158203	Dart	
343	3.1524	10000.0	7829291	0.0108074	0.023820877075195312	Dart	
344	3.116	10000.0	151002	-0.0255926	0.025234222412109375	Dart	
345	3.136	10000.0	9791088	-0.0055926	0.023372888565063477	Dart	
346	3.1704	10000.0	9705626	0.0288074	0.02219700813293457	Dart	
347	3.1316	10000.0	9295780	-0.0099926	0.022632122039794922	Dart	
348	3.1352	10000.0	7081417	-0.0063926	0.024878978729248047	Dart	
349	3.1324	10000.0	9602724	-0.0091926	0.023967981338500977	Dart	
350	3.1048	10000.0	1563964	-0.0367926	0.027779102325439453	Dart	
351	3.1284	10000.0	9920687	-0.0131926	0.0216519832611084	Dart	
352	3.142	10000.0	7353843	0.0004074	0.022221088409423828	Dart	
353	3.1548	10000.0	1749369	0.0132074	0.022123098373413086	Dart	
354	3.1516	10000.0	123402	0.0100074	0.022143840789794922	Dart	
355	3.146	10000.0	1042366	0.0044074	0.024878263473510742	Dart	
356	3.1828	10000.0	5726128	0.0412074	0.022455215454101562	Dart	
357	3.1576	10000.0	5978543	0.0160074	0.02646493911743164	Dart	
358	3.1452	10000.0	7673671	0.0036074	0.02719402313232422	Dart	
359	3.104	10000.0	1398806	-0.0375926	0.026622772216796875	Dart	
360	3.1232	10000.0	9070179	-0.0183926	0.025126934051513672	Dart	
361	3.1092	10000.0	2843597	-0.0323926	0.023027420043945312	Dart	
362	3.1396	10000.0	4812158	-0.0019926	0.022194862365722656	Dart	
363	3.1416	10000.0	1623236	7.4e-06	0.02300119400024414	Dart	
364	3.1596	10000.0	6600910	0.0180074	0.023067712783813477	Dart	
365	3.1524	10000.0	316775	0.0108074	0.02178812026977539	Dart	
366	3.1212	10000.0	6253048	-0.0203926	0.021452903747558594	Dart	
367	3.1352	10000.0	2915151	-0.0063926	0.02959895133972168	Dart	
368	3.1288	10000.0	1611777	-0.0127926	0.023457050323486328	Dart	
369	3.1308	10000.0	6497324	-0.0107926	0.022969961166381836	Dart	
370	3.1576	10000.0	8274458	0.0160074	0.02280282974243164	Dart	
371	3.1356	10000.0	4526135	-0.0059926	0.023543119430541992	Dart	
372	3.1268	10000.0	4319724	-0.0147926	0.030888080596923828	Dart	
373	3.1356	10000.0	6798786	-0.0059926	0.02174687385559082	Dart	
374	3.172	10000.0	9344694	0.0304074	0.02148723602294922	Dart	
375	3.1284	10000.0	3180318	-0.0131926	0.022531747817993164	Dart	
376	3.1396	10000.0	7005010	-0.0019926	0.055750131607055664	Dart	
377	3.1584	10000.0	504343	0.0168074	0.0434267520904541	Dart	
378	3.1372	10000.0	5025758	-0.0043926	0.054671287536621094	Dart	
379	3.1508	10000.0	4124635	0.0092074	0.03837895393371582	Dart	
380	3.1496	10000.0	5086615	0.0080074	0.03724980354309082	Dart	
381	3.124	10000.0	9944374	-0.0175926	0.04196500778198242	Dart	
382	3.1388	10000.0	3121471	-0.0027926	0.029005765914916992	Dart	
383	3.1552	10000.0	929008	0.0136074	0.031800031661987305	Dart	
384	3.154	10000.0	1884885	0.0124074	0.02552485466003418	Dart	
385	3.1648	10000.0	196423	0.0232074	0.037168025970458984	Dart	
386	3.1456	10000.0	4603961	0.0040074	0.023397207260131836	Dart	
